sentence,label
Patient appears to have bronchitis with complications.,assessment
Likely diagnosis is migraine.,assessment
Patient appears to have migraine with complications.,assessment
Symptoms suggest viral infection.,assessment
Differential includes viral infection and viral infection.,assessment
Likely diagnosis is diabetes mellitus.,assessment
Symptoms suggest hypertension.,assessment
Differential includes diabetes mellitus and diabetes mellitus.,assessment
Likely diagnosis is migraine.,assessment
Likely diagnosis is hypertension.,assessment
Patient appears to have diabetes mellitus with complications.,assessment
Patient appears to have hypertension with complications.,assessment
Patient appears to have diabetes mellitus with complications.,assessment
Symptoms suggest diabetes mellitus.,assessment
Symptoms suggest bronchitis.,assessment
Clinical picture is consistent with diabetes mellitus.,assessment
Symptoms suggest hypertension.,assessment
Symptoms suggest bronchitis.,assessment
Clinical picture is consistent with diabetes mellitus.,assessment
Clinical picture is consistent with diabetes mellitus.,assessment
Clinical picture is consistent with bronchitis.,assessment
Symptoms suggest hypertension.,assessment
Symptoms suggest viral infection.,assessment
Differential includes migraine and migraine.,assessment
Likely diagnosis is viral infection.,assessment
Differential includes bronchitis and bronchitis.,assessment
Patient appears to have diabetes mellitus with complications.,assessment
Likely diagnosis is diabetes mellitus.,assessment
Likely diagnosis is viral infection.,assessment
Patient appears to have diabetes mellitus with complications.,assessment
Likely diagnosis is hypertension.,assessment
Clinical picture is consistent with migraine.,assessment
Symptoms suggest viral infection.,assessment
Differential includes hypertension and hypertension.,assessment
Patient appears to have bronchitis with complications.,assessment
Clinical picture is consistent with viral infection.,assessment
Likely diagnosis is diabetes mellitus.,assessment
Symptoms suggest bronchitis.,assessment
Symptoms suggest diabetes mellitus.,assessment
Likely diagnosis is viral infection.,assessment
Likely diagnosis is hypertension.,assessment
Differential includes viral infection and viral infection.,assessment
Differential includes migraine and migraine.,assessment
Clinical picture is consistent with diabetes mellitus.,assessment
Symptoms suggest diabetes mellitus.,assessment
Patient appears to have bronchitis with complications.,assessment
Symptoms suggest diabetes mellitus.,assessment
Likely diagnosis is viral infection.,assessment
Differential includes bronchitis and bronchitis.,assessment
Patient appears to have viral infection with complications.,assessment
Likely diagnosis is diabetes mellitus.,assessment
Likely diagnosis is diabetes mellitus.,assessment
Likely diagnosis is hypertension.,assessment
Clinical picture is consistent with bronchitis.,assessment
Differential includes diabetes mellitus and diabetes mellitus.,assessment
Patient appears to have diabetes mellitus with complications.,assessment
Likely diagnosis is migraine.,assessment
Patient appears to have viral infection with complications.,assessment
Symptoms suggest hypertension.,assessment
Differential includes migraine and migraine.,assessment
Differential includes bronchitis and bronchitis.,assessment
Symptoms suggest bronchitis.,assessment
Likely diagnosis is hypertension.,assessment
Likely diagnosis is migraine.,assessment
Likely diagnosis is bronchitis.,assessment
Patient appears to have migraine with complications.,assessment
Symptoms suggest diabetes mellitus.,assessment
Differential includes diabetes mellitus and diabetes mellitus.,assessment
Differential includes migraine and migraine.,assessment
Symptoms suggest diabetes mellitus.,assessment
Patient appears to have diabetes mellitus with complications.,assessment
Likely diagnosis is migraine.,assessment
Patient appears to have diabetes mellitus with complications.,assessment
Clinical picture is consistent with diabetes mellitus.,assessment
Order urinalysis to confirm diagnosis.,plan
Advise hydration and monitor progress.,plan
Start salbutamol inhaler for several months.,plan
Refer to gastroenterologist for further evaluation.,plan
Schedule follow-up in 3 hours.,plan
Start metformin for several months.,plan
Refer to neurologist for further evaluation.,plan
Schedule follow-up in several months.,plan
Advise compression therapy and monitor progress.,plan
Order MRI scan to confirm diagnosis.,plan
Start salbutamol inhaler for 1 week.,plan
Start metformin for 2 days.,plan
Start amoxicillin for 2 days.,plan
Advise rest and monitor progress.,plan
Start amoxicillin for several months.,plan
Order blood glucose test to confirm diagnosis.,plan
Refer to endocrinologist for further evaluation.,plan
Schedule follow-up in since yesterday.,plan
Refer to ENT specialist for further evaluation.,plan
Advise rest and monitor progress.,plan
Order MRI scan to confirm diagnosis.,plan
Schedule follow-up in since yesterday.,plan
Schedule follow-up in 3 hours.,plan
Refer to cardiologist for further evaluation.,plan
Refer to endocrinologist for further evaluation.,plan
Start amoxicillin for a few minutes.,plan
Schedule follow-up in a few minutes.,plan
Schedule follow-up in 2 days.,plan
Refer to neurologist for further evaluation.,plan
Order MRI scan to confirm diagnosis.,plan
Advise compression therapy and monitor progress.,plan
Order urinalysis to confirm diagnosis.,plan
Refer to neurologist for further evaluation.,plan
Schedule follow-up in since yesterday.,plan
Start paracetamol for 3 hours.,plan
Schedule follow-up in several months.,plan
Start ibuprofen 400mg for several months.,plan
Schedule follow-up in 3 hours.,plan
Refer to gastroenterologist for further evaluation.,plan
Order urinalysis to confirm diagnosis.,plan
Start salbutamol inhaler for several months.,plan
Order ECG to confirm diagnosis.,plan
Refer to cardiologist for further evaluation.,plan
Order MRI scan to confirm diagnosis.,plan
Refer to endocrinologist for further evaluation.,plan
Refer to gastroenterologist for further evaluation.,plan
Schedule follow-up in 1 week.,plan
Order ECG to confirm diagnosis.,plan
Advise low-sodium diet and monitor progress.,plan
Advise compression therapy and monitor progress.,plan
Refer to gastroenterologist for further evaluation.,plan
Refer to cardiologist for further evaluation.,plan
Refer to neurologist for further evaluation.,plan
Start paracetamol for 1 week.,plan
Start amoxicillin for 3 hours.,plan
Advise avoid allergens and monitor progress.,plan
Advise low-sodium diet and monitor progress.,plan
Refer to cardiologist for further evaluation.,plan
Schedule follow-up in a few minutes.,plan
Schedule follow-up in 1 week.,plan
Start amoxicillin for 2 days.,plan
Start metformin for 1 week.,plan
Order urinalysis to confirm diagnosis.,plan
Schedule follow-up in several months.,plan
Order ECG to confirm diagnosis.,plan
Schedule follow-up in 1 week.,plan
Order ECG to confirm diagnosis.,plan
Order urinalysis to confirm diagnosis.,plan
Advise low-sodium diet and monitor progress.,plan
Schedule follow-up in several months.,plan
Advise low-sodium diet and monitor progress.,plan
Schedule follow-up in 3 hours.,plan
Schedule follow-up in several months.,plan
Order chest X-ray to confirm diagnosis.,plan
Start metformin for several months.,plan
Refer to neurologist for further evaluation.,plan
Start paracetamol for 2 days.,plan
Order blood glucose test to confirm diagnosis.,plan
Start amoxicillin for 2 days.,plan
Advise avoid allergens and monitor progress.,plan
Start amoxicillin for since yesterday.,plan
Schedule follow-up in 2 days.,plan
Advise rest and monitor progress.,plan
Start salbutamol inhaler for a few minutes.,plan
Schedule follow-up in several months.,plan
Schedule follow-up in a few minutes.,plan
Advise avoid allergens and monitor progress.,plan
Schedule follow-up in several months.,plan
Schedule follow-up in 2 days.,plan
Start ibuprofen 400mg for 3 hours.,plan
Advise compression therapy and monitor progress.,plan
Refer to ENT specialist for further evaluation.,plan
Advise rest and monitor progress.,plan
Start amoxicillin for several months.,plan
Advise low-sodium diet and monitor progress.,plan
Schedule follow-up in 2 days.,plan
Schedule follow-up in since yesterday.,plan
Order urinalysis to confirm diagnosis.,plan
Order ECG to confirm diagnosis.,plan
Schedule follow-up in 1 week.,plan
Advise hydration and monitor progress.,plan
Order MRI scan to confirm diagnosis.,plan
Schedule follow-up in since yesterday.,plan
Schedule follow-up in several months.,plan
Refer to gastroenterologist for further evaluation.,plan
Refer to neurologist for further evaluation.,plan
Start metformin for several months.,plan
Start salbutamol inhaler for several months.,plan
Schedule follow-up in since yesterday.,plan
Refer to cardiologist for further evaluation.,plan
Start salbutamol inhaler for since yesterday.,plan
Schedule follow-up in several months.,plan
Schedule follow-up in since yesterday.,plan
Start salbutamol inhaler for 2 days.,plan
Schedule follow-up in 3 hours.,plan
Advise compression therapy and monitor progress.,plan
Schedule follow-up in several months.,plan
Refer to neurologist for further evaluation.,plan
Order MRI scan to confirm diagnosis.,plan
Refer to neurologist for further evaluation.,plan
Schedule follow-up in since yesterday.,plan
Start paracetamol for several months.,plan
Start amoxicillin for 3 hours.,plan
Start salbutamol inhaler for 2 days.,plan
Schedule follow-up in since yesterday.,plan
Refer to cardiologist for further evaluation.,plan
Order urinalysis to confirm diagnosis.,plan
Advise low-sodium diet and monitor progress.,plan
Start amoxicillin for a few minutes.,plan
Advise rest and monitor progress.,plan
Advise avoid allergens and monitor progress.,plan
Refer to cardiologist for further evaluation.,plan
Refer to endocrinologist for further evaluation.,plan
Advise hydration and monitor progress.,plan
Order MRI scan to confirm diagnosis.,plan
Schedule follow-up in 1 week.,plan
Order blood glucose test to confirm diagnosis.,plan
Schedule follow-up in since yesterday.,plan
Refer to cardiologist for further evaluation.,plan
Start salbutamol inhaler for since yesterday.,plan
Schedule follow-up in 1 week.,plan
Refer to ENT specialist for further evaluation.,plan
Start metformin for 3 hours.,plan
Order chest X-ray to confirm diagnosis.,plan
Order urinalysis to confirm diagnosis.,plan
Refer to endocrinologist for further evaluation.,plan
Order blood glucose test to confirm diagnosis.,plan
Refer to endocrinologist for further evaluation.,plan
Order blood glucose test to confirm diagnosis.,plan
Start salbutamol inhaler for a few minutes.,plan
Start ibuprofen 400mg for a few minutes.,plan
Order blood glucose test to confirm diagnosis.,plan
Refer to endocrinologist for further evaluation.,plan
Order ECG to confirm diagnosis.,plan
Refer to ENT specialist for further evaluation.,plan
Order chest X-ray to confirm diagnosis.,plan
Start ibuprofen 400mg for a few minutes.,plan
Advise hydration and monitor progress.,plan
Schedule follow-up in 2 days.,plan
Refer to neurologist for further evaluation.,plan
Advise rest and monitor progress.,plan
Advise avoid allergens and monitor progress.,plan
Schedule follow-up in several months.,plan
Order chest X-ray to confirm diagnosis.,plan
Refer to endocrinologist for further evaluation.,plan
Schedule follow-up in several months.,plan
Start ibuprofen 400mg for since yesterday.,plan
Order ECG to confirm diagnosis.,plan
Schedule follow-up in since yesterday.,plan
Schedule follow-up in 2 days.,plan
Order MRI scan to confirm diagnosis.,plan
Refer to gastroenterologist for further evaluation.,plan
Advise avoid allergens and monitor progress.,plan
Refer to neurologist for further evaluation.,plan
Start amoxicillin for several months.,plan
Advise low-sodium diet and monitor progress.,plan
Schedule follow-up in a few minutes.,plan
Refer to ENT specialist for further evaluation.,plan
Advise low-sodium diet and monitor progress.,plan
Start amoxicillin for 2 days.,plan
Order blood glucose test to confirm diagnosis.,plan
Schedule follow-up in 3 hours.,plan
Start salbutamol inhaler for 1 week.,plan
Start paracetamol for a few minutes.,plan
Start ibuprofen 400mg for several months.,plan
Advise low-sodium diet and monitor progress.,plan
Start amoxicillin for several months.,plan
Start amoxicillin for 2 days.,plan
Start paracetamol for 2 days.,plan
Advise low-sodium diet and monitor progress.,plan
Advise avoid allergens and monitor progress.,plan
Advise compression therapy and monitor progress.,plan
Refer to ENT specialist for further evaluation.,plan
Refer to gastroenterologist for further evaluation.,plan
Schedule follow-up in since yesterday.,plan
Advise rest and monitor progress.,plan
Schedule follow-up in since yesterday.,plan
Schedule follow-up in 2 days.,plan
Schedule follow-up in a few minutes.,plan
Order chest X-ray to confirm diagnosis.,plan
Advise compression therapy and monitor progress.,plan
Start paracetamol for several months.,plan
Order blood glucose test to confirm diagnosis.,plan
Refer to endocrinologist for further evaluation.,plan
Start metformin for a few minutes.,plan
Advise avoid allergens and monitor progress.,plan
Order urinalysis to confirm diagnosis.,plan
Refer to endocrinologist for further evaluation.,plan
Schedule follow-up in several months.,plan
Advise avoid allergens and monitor progress.,plan
Advise hydration and monitor progress.,plan
Schedule follow-up in 3 hours.,plan
Start salbutamol inhaler for since yesterday.,plan
Start ibuprofen 400mg for 2 days.,plan
Advise hydration and monitor progress.,plan
Refer to neurologist for further evaluation.,plan
Refer to endocrinologist for further evaluation.,plan
Start paracetamol for since yesterday.,plan
Schedule follow-up in several months.,plan
Refer to gastroenterologist for further evaluation.,plan
Advise rest and monitor progress.,plan
Order ECG to confirm diagnosis.,plan
Start paracetamol for a few minutes.,plan
Refer to cardiologist for further evaluation.,plan
Start ibuprofen 400mg for 2 days.,plan
Advise low-sodium diet and monitor progress.,plan
Start ibuprofen 400mg for a few minutes.,plan
Order urinalysis to confirm diagnosis.,plan
Start paracetamol for several months.,plan
Refer to endocrinologist for further evaluation.,plan
Start metformin for 2 days.,plan
Schedule follow-up in 1 week.,plan
Advise compression therapy and monitor progress.,plan
Start salbutamol inhaler for 1 week.,plan
Order chest X-ray to confirm diagnosis.,plan
Order ECG to confirm diagnosis.,plan
Start amoxicillin for a few minutes.,plan
Start paracetamol for 2 days.,plan
Schedule follow-up in 2 days.,plan
Order chest X-ray to confirm diagnosis.,plan
Order chest X-ray to confirm diagnosis.,plan
Advise avoid allergens and monitor progress.,plan
Schedule follow-up in 1 week.,plan
Order chest X-ray to confirm diagnosis.,plan
Refer to gastroenterologist for further evaluation.,plan
Order urinalysis to confirm diagnosis.,plan
Advise low-sodium diet and monitor progress.,plan
Refer to gastroenterologist for further evaluation.,plan
Advise compression therapy and monitor progress.,plan
Refer to gastroenterologist for further evaluation.,plan
